# use CTRL + F to search

Symbol: USDT | Network: ALGO | Withdrawal fee: 0.001
Symbol: ORBS | Network: ERC20 | Withdrawal fee: 70.0
Symbol: ORC | Network: ERC20 | Withdrawal fee: 55.73292376
Symbol: PANDO | Network: ERC20 | Withdrawal fee: 669.09324851
Symbol: PARADOX | Network: ERC20 | Withdrawal fee: 1162.55541447
Symbol: PBR | Network: BEP20 | Withdrawal fee: 1.61790828
Symbol: PBR | Network: ERC20 | Withdrawal fee: 56.64266221
Symbol: PEOPLE | Network: ERC20 | Withdrawal fee: 236.93506554
Symbol: PHB | Network: BEP20 | Withdrawal fee: 0.18352358
Symbol: PHCR | Network: ERC20 | Withdrawal fee: 81803.22302722
Symbol: PLA | Network: ERC20 | Withdrawal fee: 24.70072958
Symbol: PLU | Network: ERC20 | Withdrawal fee: 0.63694104
Symbol: PLY | Network: ERC20 | Withdrawal fee: 9665.13047049
Symbol: POKT | Network: POKT | Withdrawal fee: 25.0
Symbol: POLC | Network: ERC20 | Withdrawal fee: 205.13482917
Symbol: POOLX | Network: BEP20 | Withdrawal fee: 0.04369221
Symbol: POOLZ | Network: BEP20 | Withdrawal fee: 2.07587532
Symbol: POOLZ | Network: ERC20 | Withdrawal fee: 61.00288035
Symbol: POR | Network: CRC20 | Withdrawal fee: 0.0
Symbol: PRIMATE | Network: ERC20 | Withdrawal fee: 537.24292135
Symbol: PROM | Network: ERC20 | Withdrawal fee: 1.11700722
Symbol: PROM | Network: BEP20 | Withdrawal fee: 0.03489664
Symbol: PRQ | Network: ERC20 | Withdrawal fee: 49.47165386
Symbol: PSG | Network: CHZCHAIN | Withdrawal fee: 0.0
Symbol: PSTAKE | Network: ERC20 | Withdrawal fee: 64.75818135
Symbol: PYR | Network: ERC20 | Withdrawal fee: 1.51929283
Symbol: QOM | Network: ERC20 | Withdrawal fee: 91958484.91284649
Symbol: QRDO | Network: ERC20 | Withdrawal fee: 53.10703598
Symbol: QUICK | Network: MATIC | Withdrawal fee: 0.1358
Symbol: RAB | Network: ARBITRUM | Withdrawal fee: 98.7721
Symbol: RAB | Network: BEP20 | Withdrawal fee: 12.49627835
Symbol: RACA | Network: ERC20 | Withdrawal fee: 25811.83572336
Symbol: RADAR | Network: ERC20 | Withdrawal fee: 694.7713676
Symbol: RAIN | Network: ERC20 | Withdrawal fee: 3085.40255634
Symbol: RANKER | Network: BEP20 | Withdrawal fee: 46.52551915
Symbol: RANKER | Network: ERC20 | Withdrawal fee: 1460.27470908
Symbol: RARE | Network: ERC20 | Withdrawal fee: 54.05134729
Symbol: RDNT | Network: ARBITRUM | Withdrawal fee: 3.5123
Symbol: REI | Network: REI | Withdrawal fee: 0.05
Symbol: RETH | Network: ERC20 | Withdrawal fee: 80223.785499
Symbol: RETH | Network: MATIC | Withdrawal fee: 141.9753
Symbol: REVO | Network: BEP20 | Withdrawal fee: 2.46152508
Symbol: REVV | Network: ERC20 | Withdrawal fee: 389.14604634
Symbol: RIFI | Network: BEP20 | Withdrawal fee: 40.62195301
Symbol: RIFI | Network: ERC20 | Withdrawal fee: 706.63616109
Symbol: RLY | Network: ERC20 | Withdrawal fee: 432.71311006
Symbol: ROCK | Network: TRC20 | Withdrawal fee: 410.7195
Symbol: ROCO | Network: C-CHAIN | Withdrawal fee: 0.5
Symbol: ROUTE | Network: MATIC | Withdrawal fee: 0.0037
Symbol: ROUTE | Network: ROUTE | Withdrawal fee: 2.10548314
Symbol: RPL | Network: ERC20 | Withdrawal fee: 0.12854959
Symbol: RSS3 | Network: ERC20 | Withdrawal fee: 30.67109996
Symbol: RYOMA | Network: BEP20 | Withdrawal fee: 80.12603396
Symbol: SAO | Network: SOLANA | Withdrawal fee: 129.2396
Symbol: SCREAM | Network: FTM | Withdrawal fee: 0.01
Symbol: SCRT | Network: SCRT | Withdrawal fee: 0.1
Symbol: SD | Network: ERC20 | Withdrawal fee: 4.06963007
Symbol: SDAO | Network: ERC20 | Withdrawal fee: 10.80079183
Symbol: SDN | Network: SDN | Withdrawal fee: 0.2
Symbol: SEAN | Network: ERC20 | Withdrawal fee: 1331.41647123
Symbol: SFUND | Network: BEP20 | Withdrawal fee: 0.1235512
Symbol: SGB | Network: SGB | Withdrawal fee: 1.0
Symbol: SHIT | Network: ERC20 | Withdrawal fee: 629339690.503327
Symbol: SIGN | Network: ERC20 | Withdrawal fee: 121.13342383
Symbol: SIS | Network: BEP20 | Withdrawal fee: 0.81170226
Symbol: SIS | Network: SIS | Withdrawal fee: 33.00440283
Symbol: SKEB | Network: ERC20 | Withdrawal fee: 2827.15791761
Symbol: SLC | Network: SOLANA | Withdrawal fee: 14.0
Symbol: SMCW | Network: BEP20 | Withdrawal fee: 16.0181923
Symbol: SNS | Network: SOLANA | Withdrawal fee: 20.0
Symbol: SOLO | Network: SOLO | Withdrawal fee: None
Symbol: SOS | Network: ERC20 | Withdrawal fee: 50700793.97950379
Symbol: Soulsaver | Network: ERC20 | Withdrawal fee: 2.76594359
Symbol: SPELL | Network: ERC20 | Withdrawal fee: 7313.3554414
Symbol: SPELLFIRE | Network: ERC20 | Withdrawal fee: 5226.64859155
Symbol: SPRT | Network: ERC20 | Withdrawal fee: 3100.48978078
Symbol: SPS | Network: BEP20 | Withdrawal fee: 5.33355945
Symbol: SPUME | Network: ERC20 | Withdrawal fee: 257.06572944
Symbol: SRM | Network: HRC20 | Withdrawal fee: 0.07040372
Symbol: SRM | Network: ERC20 | Withdrawal fee: 12.122983
Symbol: SRT | Network: ERC20 | Withdrawal fee: 69009.8556056
Symbol: SSV | Network: ERC20 | Withdrawal fee: 0.16657995
Symbol: STARLY | Network: BEP20 | Withdrawal fee: 10.70902667
Symbol: STC | Network: BEP20 | Withdrawal fee: 0.64757875
Symbol: STETH | Network: ERC20 | Withdrawal fee: 0.00385823
Symbol: STF | Network: ERC20 | Withdrawal fee: 1080.38928065
Symbol: STG | Network: STG | Withdrawal fee: 7.19467817
Symbol: STORE | Network: ERC20 | Withdrawal fee: 148.73755989
Symbol: STRM | Network: BEP20 | Withdrawal fee: 13.99590025
Symbol: SUDO | Network: ERC20 | Withdrawal fee: 5.89741915
Symbol: SUKU | Network: ERC20 | Withdrawal fee: 80.29146926
Symbol: SUPER | Network: ERC20 | Withdrawal fee: 40.21356326
Symbol: SWAP | Network: ERC20 | Withdrawal fee: 20.63664306
Symbol: SWEAT | Network: NEAR | Withdrawal fee: 30.0
Symbol: SWEAT | Network: ERC20 | Withdrawal fee: 710.89398976
Symbol: SXP | Network: SXP | Withdrawal fee: 0.1
Symbol: SYLO | Network: ERC20 | Withdrawal fee: 2600.11586483
Symbol: SYN | Network: ERC20 | Withdrawal fee: 7.24770743
Symbol: SYS | Network: SYS | Withdrawal fee: 1.0
Symbol: T | Network: ERC20 | Withdrawal fee: 159.0294202
Symbol: TAO | Network: BEP20 | Withdrawal fee: 1.48439964
Symbol: TAO | Network: TAO | Withdrawal fee: 0.2
Symbol: TAVA | Network: ERC20 | Withdrawal fee: 49.21026582
Symbol: TCNH | Network: TRC20 | Withdrawal fee: 3.6326
Symbol: TDX | Network: BEP20 | Withdrawal fee: 2.02572833
Symbol: TINC | Network: BEP20 | Withdrawal fee: 5.89334973
Symbol: TLM | Network: ERC20 | Withdrawal fee: 269.3308
Symbol: TLOS | Network: ERC20 | Withdrawal fee: 34.30404183
Symbol: TOKE | Network: ERC20 | Withdrawal fee: 5.79423221
Symbol: TOMI | Network: ERC20 | Withdrawal fee: 2.53507185
Symbol: TOMS | Network: ERC20 | Withdrawal fee: 2316.59233472
Symbol: TON | Network: TON | Withdrawal fee: 0.01
Symbol: TORN | Network: ERC20 | Withdrawal fee: 0.74263631
Symbol: TRAC | Network: ERC20 | Withdrawal fee: 15.579022
Symbol: TRU | Network: ERC20 | Withdrawal fee: 80.91514868
Symbol: UFT | Network: MATIC | Withdrawal fee: 0.0242
Symbol: UFT | Network: UFT | Withdrawal fee: 13.71016467
Symbol: UNB | Network: ERC20 | Withdrawal fee: 2520.12841861
Symbol: UNFI | Network: ERC20 | Withdrawal fee: 1.16665632
Symbol: UNIC | Network: ERC20 | Withdrawal fee: 1.14011489
Symbol: UNQ | Network: UNQ | Withdrawal fee: 0.5
Symbol: UOS | Network: ERC20 | Withdrawal fee: 19.1392
Symbol: UPI | Network: ERC20 | Withdrawal fee: 2376.36267624
Symbol: USDJ | Network: TRC20 | Withdrawal fee: 0.4471
Symbol: USN | Network: NEAR | Withdrawal fee: 0.2
Symbol: USTC | Network: USTC | Withdrawal fee: None
Symbol: UT | Network: BEP20 | Withdrawal fee: 0.70783237
Symbol: VELO | Network: BEP20 | Withdrawal fee: 32.1980983
Symbol: VELO | Network: XLM | Withdrawal fee: 50.0
Symbol: VEMP | Network: ERC20 | Withdrawal fee: 368.81267584
Symbol: VINU | Network: ERC20 | Withdrawal fee: 459521374.7899221
Symbol: VINU | Network: BEP20 | Withdrawal fee: 14162219.68528162
Symbol: VISION | Network: BEP20 | Withdrawal fee: 60.45133488
Symbol: VLX | Network: BEP20 | Withdrawal fee: 7.35157468
Symbol: VOLT | Network: BEP20 | Withdrawal fee: 943028.15802734
Symbol: VOLT | Network: ERC20 | Withdrawal fee: 10422876.92948101
Symbol: VOXEL | Network: MATIC | Withdrawal fee: 0.0387
Symbol: VPAD | Network: ERC20 | Withdrawal fee: 182.54203547
Symbol: VR | Network: ERC20 | Withdrawal fee: 615.13686185
Symbol: VRA | Network: ERC20 | Withdrawal fee: 866.35849967
Symbol: VVS | Network: CRO | Withdrawal fee: 12000.0
Symbol: VVS | Network: ERC20 | Withdrawal fee: 974503.01033497
Symbol: WALLET | Network: ERC20 | Withdrawal fee: 441.54542791
Symbol: WAR | Network: HRC20 | Withdrawal fee: 9.11500287
Symbol: WAXL | Network: ERC20 | Withdrawal fee: 10.074504
Symbol: WBT | Network: TRC20 | Withdrawal fee: 0.1027
Symbol: WBT | Network: ERC20 | Withdrawal fee: 1.16049525
Symbol: WE | Network: KIP7 | Withdrawal fee: 0.0028
Symbol: WELL | Network: MOONBEAM | Withdrawal fee: 4.0
Symbol: WEMIX | Network: WEMIX | Withdrawal fee: 0.1
Symbol: WIFI | Network: POLYGON | Withdrawal fee: 0.1475
Symbol: WILD | Network: ERC20 | Withdrawal fee: 17.87765541
Symbol: WIN | Network: TRC20 | Withdrawal fee: 5618.9382
Symbol: WLKN | Network: SOLANA | Withdrawal fee: 11.0162
Symbol: WMT | Network: ADATOKEN | Withdrawal fee: 4.0
Symbol: WND | Network: HRC20 | Withdrawal fee: 1.32085838
Symbol: WNDR | Network: BEP20 | Withdrawal fee: 9.97234281
Symbol: WOOF | Network: ERC20 | Withdrawal fee: 8575.87222229
Symbol: WPCI | Network: ERC20 | Withdrawal fee: 59.81756607
Symbol: WWY | Network: BEP20 | Withdrawal fee: 21.79383122
Symbol: XAUT | Network: ERC20 | Withdrawal fee: 0.002807
Symbol: XCAD | Network: ERC20 | Withdrawal fee: 3.48981887
Symbol: XCN | Network: ERC20 | Withdrawal fee: 1401.07238778
Symbol: XCUR | Network: ERC20 | Withdrawal fee: 106.5492018
Symbol: XCUR | Network: BEP20 | Withdrawal fee: 3.77387329
Symbol: XDC | Network: XDC | Withdrawal fee: 0.01
Symbol: XDEFI | Network: ERC20 | Withdrawal fee: 44.11716167
Symbol: XEN | Network: ERC20 | Withdrawal fee: 1660893.0
Symbol: XETA | Network: CCHAINERC20 | Withdrawal fee: 12.0305
Symbol: XNO | Network: ERC20 | Withdrawal fee: 1918.03742264
Symbol: XPLA | Network: XPLA | Withdrawal fee: 1.0
Symbol: XPNT | Network: MATIC | Withdrawal fee: 0.0476
Symbol: XPNT | Network: XPNT | Withdrawal fee: 28.70996413
Symbol: XTM | Network: HRC20 | Withdrawal fee: 1.73571296
Symbol: XTM | Network: ERC20 | Withdrawal fee: 298.74608792
Symbol: XYO | Network: ERC20 | Withdrawal fee: 1056.69928453
Symbol: YGG | Network: HRC20 | Withdrawal fee: 0.12327658
Symbol: YGG | Network: ERC20 | Withdrawal fee: 21.2176
Symbol: ZBC | Network: SOLANA | Withdrawal fee: 28.2374
Symbol: ZCX | Network: ERC20 | Withdrawal fee: 55.08724824
Symbol: ZED | Network: MATIC | Withdrawal fee: 0.4873
Symbol: ZIG | Network: ERC20 | Withdrawal fee: 873.97508424
Symbol: ZKP | Network: ERC20 | Withdrawal fee: 154.25256689
Symbol: ZNT | Network: CUBECRC20 | Withdrawal fee: 96.0287
